symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:AGIX/TRY,AGIX/TRY,AGIX,TRY,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.01
binance:AGIX/USDT,AGIX/USDT,AGIX,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0001
binance:AGIX/USDT:USDT,AGIX/USDT:USDT,AGIX,USDT,swap,0,1,0,0,0,0.0005,0.0002,SETTLING,,1,0.0001
binance:AGLD/BNB,AGLD/BNB,AGLD,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.000001
binance:AGLD/BTC,AGLD/BTC,AGLD,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:AGLD/BUSD,AGLD/BUSD,AGLD,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.001
binance:AGLD/USDT,AGLD/USDT,AGLD,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.001
binance:AGLD/USDT:USDT,AGLD/USDT:USDT,AGLD,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.0001
binance:AGT/USDT:USDT,AGT/USDT:USDT,AGT,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:AI/BNB,AI/BNB,AI,BNB,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:AI/BTC,AI/BTC,AI,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:AI/FDUSD,AI/FDUSD,AI,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AI/TRY,AI/TRY,AI,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
binance:AI/TUSD,AI/TUSD,AI,TUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.001
binance:AI/USDT,AI/USDT,AI,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AI/USDT:USDT,AI/USDT:USDT,AI,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:AI16Z/USDT:USDT,AI16Z/USDT:USDT,AI16Z,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.0001
binance:AIN/USDT:USDT,AIN/USDT:USDT,AIN,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:AIO/USDT:USDT,AIO/USDT:USDT,AIO,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:AION/BNB,AION/BNB,AION,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.000001
binance:AION/BTC,AION/BTC,AION,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AION/BUSD,AION/BUSD,AION,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,0.0001
binance:AION/ETH,AION/ETH,AION,ETH,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AION/USDT,AION/USDT,AION,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00001
