symbol,base,quote,cotiza_vs_directo,origen,1_base_equivale_x_quote,1_quote_equivale_x_base
KAVA/BTC,KAVA,BTC,base:KAVA; quote:BTC,indirecto,,
KDA/BTC,KDA,BTC,base:KDA; quote:BTC,indirecto,,
KERNEL/BNB,KERNEL,BNB,base:KERNEL; quote:BNB,indirecto,,
KERNEL/FDUSD,KERNEL,FDUSD,base:KERNEL; quote:FDUSD,indirecto,,
KERNEL/USDC,KERNEL,USDC,base:KERNEL; quote:USDC,indirecto,,
KMNO/USDC,KMNO,USDC,base:KMNO; quote:USDC,indirecto,,
KNC/BTC,KNC,BTC,base:KNC; quote:BTC,indirecto,,
KSM/BTC,KSM,BTC,base:KSM; quote:BTC,indirecto,,
LA/BNB,LA,BNB,base:LA; quote:BNB,indirecto,,
LA/FDUSD,LA,FDUSD,base:LA; quote:FDUSD,indirecto,,
LA/USDC,LA,USDC,base:LA; quote:USDC,indirecto,,
LAYER/BNB,LAYER,BNB,base:LAYER; quote:BNB,indirecto,,
LAYER/BTC,LAYER,BTC,base:LAYER; quote:BTC,indirecto,,
LAYER/FDUSD,LAYER,FDUSD,base:LAYER; quote:FDUSD,indirecto,,
LAYER/USDC,LAYER,USDC,base:LAYER; quote:USDC,indirecto,,
LDO/BTC,LDO,BTC,base:LDO; quote:BTC,indirecto,,
LDO/FDUSD,LDO,FDUSD,base:LDO; quote:FDUSD,indirecto,,
LDO/USDC,LDO,USDC,base:LDO; quote:USDC,indirecto,,
LINK/BNB,LINK,BNB,base:LINK; quote:BNB,indirecto,,
LINK/BTC,LINK,BTC,base:LINK; quote:BTC,indirecto,,
LINK/ETH,LINK,ETH,base:LINK; quote:ETH,indirecto,,
LINK/FDUSD,LINK,FDUSD,base:LINK; quote:FDUSD,indirecto,,
LINK/USDC,LINK,USDC,base:LINK; quote:USDC,indirecto,,
LISTA/BNB,LISTA,BNB,base:LISTA; quote:BNB,indirecto,,
LISTA/FDUSD,LISTA,FDUSD,base:LISTA; quote:FDUSD,indirecto,,
LISTA/USDC,LISTA,USDC,base:LISTA; quote:USDC,indirecto,,
LPT/BNB,LPT,BNB,base:LPT; quote:BNB,indirecto,,
