info_status,exchange,symbol_id,symbol,info_isSpotTradingAllowed
TRADING,binance,binance:AR/USDT:USDT,AR/USDT:USDT,
TRADING,binance,binance:ARB/BTC,ARB/BTC,True
TRADING,binance,binance:ARB/ETH,ARB/ETH,True
TRADING,binance,binance:ARB/EUR,ARB/EUR,True
TRADING,binance,binance:ARB/FDUSD,ARB/FDUSD,True
BREAK,binance,binance:ARB/RUB,ARB/RUB,True
TRADING,binance,binance:ARB/TRY,ARB/TRY,True
TRADING,binance,binance:ARB/TUSD,ARB/TUSD,True
TRADING,binance,binance:ARB/USDC,ARB/USDC,True
TRADING,binance,binance:ARB/USDC:USDC,ARB/USDC:USDC,
TRADING,binance,binance:ARB/USDT,ARB/USDT,True
TRADING,binance,binance:ARB/USDT:USDT,ARB/USDT:USDT,
TRADING,binance,binance:ARC/USDT:USDT,ARC/USDT:USDT,
BREAK,binance,binance:ARDR/BNB,ARDR/BNB,True
TRADING,binance,binance:ARDR/BTC,ARDR/BTC,True
BREAK,binance,binance:ARDR/ETH,ARDR/ETH,True
TRADING,binance,binance:ARDR/USDT,ARDR/USDT,True
BREAK,binance,binance:ARK/BTC,ARK/BTC,True
BREAK,binance,binance:ARK/BUSD,ARK/BUSD,True
BREAK,binance,binance:ARK/ETH,ARK/ETH,True
TRADING,binance,binance:ARK/TRY,ARK/TRY,True
TRADING,binance,binance:ARK/USDT,ARK/USDT,True
TRADING,binance,binance:ARK/USDT:USDT,ARK/USDT:USDT,
TRADING,binance,binance:ARKM/BNB,ARKM/BNB,True
TRADING,binance,binance:ARKM/BTC,ARKM/BTC,True
TRADING,binance,binance:ARKM/FDUSD,ARKM/FDUSD,True
BREAK,binance,binance:ARKM/RUB,ARKM/RUB,True
TRADING,binance,binance:ARKM/TRY,ARKM/TRY,True
BREAK,binance,binance:ARKM/TUSD,ARKM/TUSD,True
TRADING,binance,binance:ARKM/USDC,ARKM/USDC,True
TRADING,binance,binance:ARKM/USDT,ARKM/USDT,True
TRADING,binance,binance:ARKM/USDT:USDT,ARKM/USDT:USDT,
BREAK,binance,binance:ARN/BTC,ARN/BTC,True
BREAK,binance,binance:ARN/ETH,ARN/ETH,True
BREAK,binance,binance:ARPA/BNB,ARPA/BNB,True
TRADING,binance,binance:ARPA/BTC,ARPA/BTC,True
BREAK,binance,binance:ARPA/BUSD,ARPA/BUSD,True
BREAK,binance,binance:ARPA/ETH,ARPA/ETH,True
BREAK,binance,binance:ARPA/RUB,ARPA/RUB,True
TRADING,binance,binance:ARPA/TRY,ARPA/TRY,True
TRADING,binance,binance:ARPA/USDT,ARPA/USDT,True
TRADING,binance,binance:ARPA/USDT:USDT,ARPA/USDT:USDT,
BREAK,binance,binance:ASR/BTC,ASR/BTC,True
BREAK,binance,binance:ASR/BUSD,ASR/BUSD,True
TRADING,binance,binance:ASR/TRY,ASR/TRY,True
TRADING,binance,binance:ASR/USDT,ASR/USDT,True
TRADING,binance,binance:ASR/USDT:USDT,ASR/USDT:USDT,
BREAK,binance,binance:AST/BTC,AST/BTC,True
BREAK,binance,binance:AST/ETH,AST/ETH,True
BREAK,binance,binance:AST/USDT,AST/USDT,True
TRADING,binance,binance:ASTR/BTC,ASTR/BTC,True
BREAK,binance,binance:ASTR/BUSD,ASTR/BUSD,True
BREAK,binance,binance:ASTR/ETH,ASTR/ETH,True
TRADING,binance,binance:ASTR/USDT,ASTR/USDT,True
TRADING,binance,binance:ASTR/USDT:USDT,ASTR/USDT:USDT,
BREAK,binance,binance:ATA/BNB,ATA/BNB,True
TRADING,binance,binance:ATA/BTC,ATA/BTC,True
BREAK,binance,binance:ATA/BUSD,ATA/BUSD,True
TRADING,binance,binance:ATA/USDT,ATA/USDT,True
TRADING,binance,binance:ATA/USDT:USDT,ATA/USDT:USDT,
TRADING,binance,binance:ATH/USDT:USDT,ATH/USDT:USDT,
BREAK,binance,binance:ATM/BTC,ATM/BTC,True
BREAK,binance,binance:ATM/BUSD,ATM/BUSD,True
TRADING,binance,binance:ATM/TRY,ATM/TRY,True
TRADING,binance,binance:ATM/USDT,ATM/USDT,True
BREAK,binance,binance:ATOM/BIDR,ATOM/BIDR,True
BREAK,binance,binance:ATOM/BNB,ATOM/BNB,True
BREAK,binance,binance:ATOM/BRL,ATOM/BRL,True
TRADING,binance,binance:ATOM/BTC,ATOM/BTC,True
BREAK,binance,binance:ATOM/BUSD,ATOM/BUSD,True
TRADING,binance,binance:ATOM/ETH,ATOM/ETH,True
TRADING,binance,binance:ATOM/EUR,ATOM/EUR,True
TRADING,binance,binance:ATOM/FDUSD,ATOM/FDUSD,True
BREAK,binance,binance:ATOM/PAX,ATOM/PAX,True
TRADING,binance,binance:ATOM/TRY,ATOM/TRY,True
BREAK,binance,binance:ATOM/TUSD,ATOM/TUSD,True
,binance,binance:ATOM/USD:ATOM,ATOM/USD:ATOM,
TRADING,binance,binance:ATOM/USDC,ATOM/USDC,True
TRADING,binance,binance:ATOM/USDT,ATOM/USDT,True
TRADING,binance,binance:ATOM/USDT:USDT,ATOM/USDT:USDT,
TRADING,binance,binance:AUCTION/BTC,AUCTION/BTC,True
BREAK,binance,binance:AUCTION/BUSD,AUCTION/BUSD,True
TRADING,binance,binance:AUCTION/FDUSD,AUCTION/FDUSD,True
TRADING,binance,binance:AUCTION/TRY,AUCTION/TRY,True
TRADING,binance,binance:AUCTION/USDC,AUCTION/USDC,True
TRADING,binance,binance:AUCTION/USDT,AUCTION/USDT,True
TRADING,binance,binance:AUCTION/USDT:USDT,AUCTION/USDT:USDT,
BREAK,binance,binance:AUD/BUSD,AUD/BUSD,True
BREAK,binance,binance:AUD/USDC,AUD/USDC,True
BREAK,binance,binance:AUD/USDT,AUD/USDT,True
TRADING,binance,binance:AUDIO/BTC,AUDIO/BTC,True
BREAK,binance,binance:AUDIO/BUSD,AUDIO/BUSD,True
TRADING,binance,binance:AUDIO/TRY,AUDIO/TRY,True
TRADING,binance,binance:AUDIO/USDT,AUDIO/USDT,True
BREAK,binance,binance:AUTO/BTC,AUTO/BTC,True
BREAK,binance,binance:AUTO/BUSD,AUTO/BUSD,True
BREAK,binance,binance:AUTO/USDT,AUTO/USDT,True
BREAK,binance,binance:AVA/BNB,AVA/BNB,True
TRADING,binance,binance:AVA/BTC,AVA/BTC,True
BREAK,binance,binance:AVA/BUSD,AVA/BUSD,True
TRADING,binance,binance:AVA/USDT,AVA/USDT,True
TRADING,binance,binance:AVA/USDT:USDT,AVA/USDT:USDT,
TRADING,binance,binance:AVAAI/USDT:USDT,AVAAI/USDT:USDT,
BREAK,binance,binance:AVAX/AUD,AVAX/AUD,True
BREAK,binance,binance:AVAX/BIDR,AVAX/BIDR,True
TRADING,binance,binance:AVAX/BNB,AVAX/BNB,True
TRADING,binance,binance:AVAX/BRL,AVAX/BRL,True
TRADING,binance,binance:AVAX/BTC,AVAX/BTC,True
BREAK,binance,binance:AVAX/BUSD,AVAX/BUSD,True
TRADING,binance,binance:AVAX/ETH,AVAX/ETH,True
TRADING,binance,binance:AVAX/EUR,AVAX/EUR,True
TRADING,binance,binance:AVAX/FDUSD,AVAX/FDUSD,True
BREAK,binance,binance:AVAX/GBP,AVAX/GBP,True
TRADING,binance,binance:AVAX/TRY,AVAX/TRY,True
BREAK,binance,binance:AVAX/TUSD,AVAX/TUSD,True
,binance,binance:AVAX/USD:AVAX,AVAX/USD:AVAX,
TRADING,binance,binance:AVAX/USDC,AVAX/USDC,True
TRADING,binance,binance:AVAX/USDC:USDC,AVAX/USDC:USDC,
TRADING,binance,binance:AVAX/USDT,AVAX/USDT,True
TRADING,binance,binance:AVAX/USDT:USDT,AVAX/USDT:USDT,
TRADING,binance,binance:AWE/BTC,AWE/BTC,True
TRADING,binance,binance:AWE/USDT,AWE/USDT,True
TRADING,binance,binance:AWE/USDT:USDT,AWE/USDT:USDT,
TRADING,binance,binance:AXL/BTC,AXL/BTC,True
BREAK,binance,binance:AXL/FDUSD,AXL/FDUSD,True
