exchange,symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker
binance,binance:ALPINE/USDT,ALPINE/USDT,ALPINE,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALPINE/USDT:USDT,ALPINE/USDT:USDT,ALPINE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ALT/BNB,ALT/BNB,ALT,BNB,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALT/BTC,ALT/BTC,ALT,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALT/FDUSD,ALT/FDUSD,ALT,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALT/TRY,ALT/TRY,ALT,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALT/USDC,ALT/USDC,ALT,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALT/USDT,ALT/USDT,ALT,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALT/USDT:USDT,ALT/USDT:USDT,ALT,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AMB/BNB,AMB/BNB,AMB,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMB/BTC,AMB/BTC,AMB,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMB/BUSD,AMB/BUSD,AMB,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMB/ETH,AMB/ETH,AMB,ETH,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMB/USDT,AMB/USDT,AMB,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMB/USDT:USDT,AMB/USDT:USDT,AMB,USDT,swap,False,True,False,False,False,0.0005,0.0002
binance,binance:AMP/BNB,AMP/BNB,AMP,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMP/BTC,AMP/BTC,AMP,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMP/BUSD,AMP/BUSD,AMP,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AMP/TRY,AMP/TRY,AMP,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:AMP/USDT,AMP/USDT,AMP,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ANC/BNB,ANC/BNB,ANC,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ANC/BTC,ANC/BTC,ANC,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ANC/BUSD,ANC/BUSD,ANC,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ANC/USDT,ANC/USDT,ANC,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:ANIME/BNB,ANIME/BNB,ANIME,BNB,spot,True,False,False,False,False,0.001,0.001
